FIELD_NAME,DESCRIPTION,DATA_TYPE,INPUT_FIELD,CALCULATED_FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCV_REC_ID,"Unique system generated BCV record id (each record has participant information and can also have spouse, beneficiary, and alternate payee information)",NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE,Case Identification Number (include leading zeros),TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETSTAT,"Participant Status at DOPT (1=Retired, 2=Separated Vested, 3=Active Vested, 4=Nonvested (Active or Separated but not in pay), 5=Not Part of Valuation Population and Not to be Loaded to Genesis)
Notes: If participant is active and solely vested in EEC, he/she is to be considered active vested (3).
           If participant is considered to be non-vested per plan provisions and has no EEC but receives a benefit through an asset allocation in PC6, he/she is to be considered non-vested (4).
           If participant is vested at DOPT but not at BPD, he/she is considered vested (2 or 3).
           The RETSTAT for an AP record is the same as the RETSTAT for the PP record if both PP and AP are deferred at DOPT.
           For AP records included for the BSRS population but not part of the valuation population, set RETSTAT to '1', '2', '3', or '4' so that the data for the AP record can be loaded to Genesis.
           The field C9.AP_VAL_IND must be set to 'Y' or 'N' for all AP records.  Data Validation will not include AP records with AP_VAL_IND set to 'N' in the total record count reported in the summary report.
           A RETSTAT value of 5 is used for records that are not part of the valuation population and not to be laoded to Genesis.",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"Type of Record (1=Participant, 2=Beneficiary, 4=Alternate Payee (AP) from QDRO)
If participant dies on DOPT and DOPT is not on the 1st of the month, the record is a beneficiary record (ID = '2')
If participant dies on DOPT and DOPT is on the 1st of the month, the record is a participant record (ID = '1')",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSN,"Participant's SSN (If Unknown and ID=1, use official dummy SSN. If Unknown and ID=2 or 4, use 000000000) ",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSSN,Spouse's SSN (If Unknown and ID=2 and NON_SPOUSE_BENF <> 'Y' use official dummy SSN otherwise use 000000000) ,TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNAME,Participant's First Name (do NOT include period for initial) ,TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNAME,Participant's Middle Name (do NOT include period for initial) ,TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNAME,Participant's Last Name,TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENAME,"Participant's Extra Name (JR, SR, I, II, III, etc - do NOT include periods) ",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFNAME,Spouse's First Name (do NOT include period for initial) ,TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMNAME,Spouse's Middle Name (do NOT include period for initial) ,TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLNAME,Spouse's Last Name,TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENAME,"Spouse's Extra Name (JR, SR, I, II, III, etc - do NOT include periods) ",TEXT,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
